id_dep,name,party,UF,twitter_account
88,Deputado Cássio Andrade,PSB,PA,cassio_40
89,Deputada Celina Leão,PP,DF,celinaleao
90,Deputado Célio Moura,PT,TO,CelioMouraTO
91,Deputado Célio Silveira,PSDB,GO,deputadoCelio
92,Deputado Célio Studart,PV,CE,CelioStudart
93,Deputado Celso Maldaner,MDB,SC,maldaner_celso
94,Deputado Celso Russomanno,REPUBLICANOS,SP,celsorussomanno
95,Deputado Celso Sabino,PSDB,PA,depcelsosabino
96,Deputado Cezinha De Madureira,PSD,SP,Czmadureira
97,Deputado Charles Fernandes,PSD,BA,Charles_Federal
98,Deputado Charlles Evangelista,PSL,MG,charllesevg
99,Deputado Chico D'angelo,PDT,RJ,chico_dangelo
100,Deputado Chiquinho Brazão,AVANTE,RJ,BrazaoChiquinho
101,Deputada Christiane De Souza Yared,PL,PR,ChristianeYared
102,Deputado Christino Aureo,PP,RJ,christinoaureo
103,Deputada Chris Tonietto,PSL,RJ,ToniettoChris
104,Deputada Clarissa Garotinho,PROS,RJ,dep_clarissa
105,Deputado Claudio Cajado,PP,BA,deputadocajado
106,Deputado Cleber Verde,REPUBLICANOS,MA,CleberVerde10
107,Deputado Coronel Armando,PSL,SC,cel_armando
108,Deputado Coronel Chrisóstomo,PSL,RO,DepChrisostomo
109,Deputado Coronel Tadeu,PSL,SP,CoronelTadeu
110,Deputado Cristiano Vale,PL,PA,no-twitter
111,Deputado Dagoberto Nogueira,PDT,MS,dagobertopdt
112,Deputado Damião Feliciano,PDT,PB,Drdamiaof
113,Deputada Daniela Do Waguinho,MDB,RJ,DanielaWaguinho
114,Deputado Daniel Almeida,PCdoB,BA,Daniel_PCdoB
115,Deputado Daniel Coelho,CIDADANIA,PE,DanielCoelho23
116,Deputado Daniel Freitas,PSL,SC,DFDanielFreitas
117,Deputado Daniel Silveira,PSL,RJ,DanielPMERJ
118,Deputado Daniel Trzeciak,PSDB,RS,TrzeciakDaniel
119,Deputado Danilo Cabral,PSB,PE,danilocabral__
120,Deputado Danilo Forte,PSDB,CE,DepDaniloForte
121,Deputado Danrlei De Deus Hinterholz,PSD,RS,no-twitter
122,Deputado Darci De Matos,PSD,SC,depdarcidematos
123,Deputado David Miranda,PSOL,RJ,davidmirandario
124,Deputado David Soares,DEM,SP,davidbrsoares
125,Deputado Da Vitoria,CIDADANIA,ES,depdavitoria
126,Deputado Delegado Antônio Furtado,PSL,RJ,DelegadoFurtado
127,Deputado Delegado Éder Mauro,PSD,PA,EderMauroPA
128,Deputado Delegado Marcelo Freitas,PSL,MG,DelegadoFreitas
129,Deputado Delegado Pablo,PSL,AM,DelegadoPablo_
130,Deputado Delegado Waldir,PSL,GO,delegado_waldir
131,Deputado Denis Bezerra,PSB,CE,denisbezerra
132,Deputado Diego Andrade,PSD,MG,diegoandrade_mg
133,Deputado Diego Garcia,PODE,PR,diegogarciapr
134,Deputado Dimas Fabiano,PP,MG,depdimasfabiano
135,Deputado Domingos Neto,PSD,CE,no-twitter
136,Deputado Domingos Sávio,PSDB,MG,DomingosSavioMG
137,Deputado Dr. Frederico,PATRIOTA,MG,DrFredericoMG
138,Deputado Dr. Gonçalo,REPUBLICANOS,MA,no-twitter
139,Deputado Dr. Jaziel,PL,CE,jaziel_dr
140,Deputado Dr. Leonardo,SOLIDARIEDADE,MT,DrLeonardomt
141,Deputado Dr. Luiz Antonio Teixeira Jr.,PP,RJ,Doutorluizinhot
142,Deputado Dr. Luiz Ovando,PSL,MS,drluizovando
143,Deputado Dr. Zacharias Calil,DEM,GO,zachariascalil
144,Deputada Dra. Soraya Manato,PSL,ES,DraManato
145,Deputada Dra. Vanda Milani,SOLIDARIEDADE,AC,Vandamilani1
146,Deputada Dulce Miranda,MDB,TO,dulcemiranda_to
147,Deputado Edilázio Júnior,PSD,MA,EdilazioJunior_
148,Deputado Edio Lopes,PL,RR,ediolopes
149,Deputada Edna Henrique,PSDB,PB,no-twitter
150,Deputado Eduardo Barbosa,PSDB,MG,eduardobarbosa_
151,Deputado Eduardo Bismarck,PDT,CE,eduardobismarck
152,Deputado Eduardo Bolsonaro,PSL,SP,BolsonaroSP
153,Deputado Eduardo Costa,PTB,PA,dep_eduardo
154,Deputado Eduardo Cury,PSDB,SP,Eduardo_Cury
155,Deputado Eduardo Da Fonte,PP,PE,eduardodafonte
156,Deputado Efraim Filho,DEM,PB,efraimfilho
157,Deputada Elcione Barbalho,MDB,PA,elcionepmdb
158,Deputado Elias Vaz,PSB,GO,EliasVazGyn
159,Deputado Eli Borges,SOLIDARIEDADE,TO,elidiasborges
160,Deputado Eli Corrêa Filho,DEM,SP,no-twitter
161,Deputado Elmar Nascimento,DEM,BA,ElmarNascimento
162,Deputado Emanuel Pinheiro Neto,PTB,MT,emanuelzinhomt
163,Deputado Emidinho Madeira,PSB,MG,no-twitter
164,Deputado Enio Verri,PT,PR,enioverri
165,Deputado Enrico Misasi,PV,SP,enricomisasi
166,Deputada Erika Kokay,PT,DF,erikakokay
167,Deputado Eros Biondini,PROS,MG,erosbiondini
168,Deputado Euclydes Pettersen,PSC,MG,EuclydesPetter
169,Deputado Evair Vieira De Melo,PP,ES,EvairdeMelo
170,Deputado Expedito Netto,PSD,RO,netto_expedito
171,Deputado Fábio Henrique,PDT,SE,FabioHenriqueSE
172,Deputado Fábio Mitidieri,PSD,SE,depfmitidieri
173,Deputado Fábio Ramalho,MDB,MG,_FabinhoRamalho
174,Deputado Fabio Reis,MDB,SE,fabioreis1515
175,Deputado Fabio Schiochet,PSL,SC,fabio_schiochet
176,Deputado Fábio Trad,PSD,MS,f_trad
177,Deputado Fausto Pinato,PP,SP,Fausto_Pinato
178,Deputado Felício Laterça,PSL,RJ,FederalFelicio
179,Deputado Felipe Carreras,PSB,PE,felipecarreras
180,Deputado Felipe Francischini,PSL,PR,FFrancischini_
181,Deputado Felipe Rigoni,PSB,ES,rigoni_felipe
182,Deputado Félix Mendonça Júnior,PDT,BA,FelixMendoncaJr
183,Deputada Fernanda Melchionna,PSOL,RS,fernandapsol
184,Deputado Fernando Coelho Filho,DEM,PE,fernandofilhope
185,Deputado Fernando Monteiro,PP,PE,fmonteiroPE
186,Deputado Fernando Rodolfo,PL,PE,depfernandor
187,Deputado Filipe Barros,PSL,PR,filipebarrost
188,Deputada Flávia Arruda,PL,DF,FlaviaArrudaDF
189,Deputada Flávia Morais,PDT,GO,depflaviamorais
190,Deputado Flaviano Melo,MDB,AC,Flaviano_Melo
191,Deputado Flávio Nogueira,PDT,PI,flavionoguera
192,Deputada Flordelis,PSD,RJ,depflordelis
193,Deputado Francisco Jr.,PSD,GO,franciscojr_go
194,Deputado Franco Cartafina,PP,MG,FrancoCartafina
195,Deputado Fred Costa,PATRIOTA,MG,FredCostaDep
196,Deputado Frei Anastacio Ribeiro,PT,PB,freianastaciopt
197,Deputado Gastão Vieira,PROS,MA,no-twitter
198,Deputado Gelson Azevedo,PL,RJ,GelsonAzevedoRJ
199,Deputado Genecias Noronha,SOLIDARIEDADE,CE,DepGenecias
200,Deputado General Girão,PSL,RN,GeneralGirao
201,Deputado General Peternelli,PSL,SP,GenPeternelli
202,Deputado Geninho Zuliani,DEM,SP,geninhozuliani
203,Deputada Geovania De Sá,PSDB,SC,geovaniadesa
204,Deputado Gervásio Maia,PSB,PB,gervasiomaia
205,Deputado Giacobo,PL,PR,fernandogiacobo
206,Deputado Gilberto Abramo,REPUBLICANOS,MG,gilbertoabramo
207,Deputado Gilberto Nascimento,PSC,SP,GilbertoPSC20
208,Deputado Gil Cutrim,PDT,MA,gilcutrim
209,Deputado Gilson Marques,NOVO,SC,gilsonmarques30
210,Deputado Giovani Cherini,PL,RS,giovanicherini
211,Deputado Giovani Feltes,MDB,RS,GiovaniFeltes
212,Deputado Glauber Braga,PSOL,RJ,Glauber_Braga
213,Deputado Glaustin Da Fokus,PSC,GO,glaustindafokus
214,Deputada Gleisi Hoffmann,PT,PR,gleisi
215,Deputado Gonzaga Patriota,PSB,PE,ponto4000recife
216,Deputada Gorete Pereira,PL,CE,no-twitter
217,Deputada Greyce Elias,AVANTE,MG,greyceelias
218,Deputado Guiga Peixoto,PSL,SP,zeguilherme_10
219,Deputado Guilherme Derrite,PP,SP,capitaoderrite
220,Deputado Guilherme Mussi,PP,SP,GuilhermeMussi
221,Deputado Gurgel,PSL,RJ,depgurgel
222,Deputado Gustavo Fruet,PDT,PR,gustavofruet
223,Deputado Gustinho Ribeiro,SOLIDARIEDADE,SE,GustinhoRibeiro
224,Deputado Gutemberg Reis,MDB,RJ,_GutembergReis
225,Deputado Haroldo Cathedral,PSD,RR,deputadoharoldo
226,Deputado Heitor Freire,PSL,CE,HeitorFreireCE
227,Deputado Heitor Schuch,PSB,RS,HeitorSchuch
228,Deputado Helder Salomão,PT,ES,heldersalomao
229,Deputado Hélio Costa,REPUBLICANOS,SC,no-twitter
230,Deputado Hélio Leite,DEM,PA,h_leite
231,Deputado Helio Lopes,PSL,RJ,depheliolopes
232,Deputado Henrique Fontana,PT,RS,HenriqueFontana
233,Deputado Hercílio Coelho Diniz,MDB,MG,herciliodiniz
234,Deputado Herculano Passos,MDB,SP,herculanopassos
235,Deputado Hermes Parcianello,MDB,PR,HermesLaranja
236,Deputado Hildo Rocha,MDB,MA,RochaHildorocha
237,Deputado Hiran Gonçalves,PP,RR,deputadohiran
238,Deputado Hugo Leal,PSD,RJ,depHugoLeal
239,Deputado Hugo Motta,REPUBLICANOS,PB,HugoMottaPB
240,Deputado Idilvan Alencar,PDT,CE,IdilvanAlencar
241,Deputado Igor Kannário,DEM,BA,Igor_Kannario
242,Deputado Igor Timo,PODE,MG,oficialigortimo
243,Deputada Iracema Portella,PP,PI,iracemaportela
244,Deputado Isnaldo Bulhões Jr.,MDB,AL,bulhoesjr
245,Deputado Ivan Valente,PSOL,SP,IvanValente
246,Deputada Jandira Feghali,PCdoB,RJ,jandira_feghali
247,Deputada Jaqueline Cassol,PP,RO,jqcassol
248,Deputado Jefferson Campos,PSB,SP,DepJefferson
249,Deputado Jerônimo Goergen,PP,RS,jeronimogoergen
250,Deputada Jéssica Sales,MDB,AC,no-twitter
251,Deputado Jesus Sérgio,PDT,AC,jesussergioac
252,Deputado Jhonatan De Jesus,REPUBLICANOS,RR,jhonatan_djesus
253,Deputado João Campos,REPUBLICANOS,GO,joaocamposdep
254,Deputado João Carlos Bacelar,PL,BA,no-twitter
255,Deputado João Daniel,PT,SE,depjoaodanielpt
256,Deputado João Maia,PL,RN,depjoaomaia
257,Deputado João Marcelo Souza,MDB,MA,no-twitter
258,Deputado João Roma,REPUBLICANOS,BA,joaoromaneto
259,Deputado Joaquim Passarinho,PSD,PA,depjpassarinho
260,Deputada Joenia Wapichana,REDE,RR,JoeniaWapichana
261,Deputada Joice Hasselmann,PSL,SP,joicehasselmann
262,Deputado Jorge Braz,REPUBLICANOS,RJ,Jorge_Braz
263,Deputado Jorge Solla,PT,BA,depjorgesolla
264,Deputado José Airton Félix Cirilo,PT,CE,JoseAirtonPT
265,Deputado José Guimarães,PT,CE,guimaraes13PT
266,Deputado Joseildo Ramos,PT,BA,joseildoramos
267,Deputado Jose Mario Schreiner,DEM,GO,SchreinerJose
268,Deputado José Medeiros,PODE,MT,JoseMedeirosMT
269,Deputado José Nelto,PODE,GO,depjosenelto
270,Deputado José Nunes,PSD,BA,JoseNunesDep
271,Deputado José Priante,MDB,PA,Priante15
272,Deputado José Ricardo,PT,AM,ZeRicardoAM
273,Deputado José Rocha,PL,BA,dep_joserocha
274,Deputado Josimar Maranhãozinho,PL,MA,josimarPL22
275,Deputado Josivaldo Jp,PODE,MA,no-twitter
276,Deputado Juarez Costa,MDB,MT,no-twitter
277,Deputado Julian Lemos,PSL,PB,JulianLemosopb1
278,Deputado Júlio Cesar,PSD,PI,DepJulioCesarPI
279,Deputado Julio Cesar Ribeiro,REPUBLICANOS,DF,JulioCesarRib
280,Deputado Júlio Delgado,PSB,MG,depjuliodelgado
281,Deputado Juninho Do Pneu,DEM,RJ,JuninhodoPneu
282,Deputado Junio Amaral,PSL,MG,cabojunioamaral
283,Deputado Júnior Ferrari,PSD,PA,no-twitter
284,Deputado Junior Lourenço,PL,MA,junior_lourenco
285,Deputado Júnior Mano,PL,CE,JuniorManoDep
286,Deputado Juscelino Filho,DEM,MA,DepJuscelino
287,Deputado Kim Kataguiri,DEM,SP,KimKataguiri
288,Deputado Laercio Oliveira,PP,SE,LaercioFederal
289,Deputado Lafayette De Andrada,REPUBLICANOS,MG,lafayetteandrad
290,Deputada Lauriete,PSC,ES,laurietecantora
291,Deputada Leandre,PV,PR,leandredaideal
292,Deputada Leda Sadala,AVANTE,AP,LedaSadala
293,Deputado Leo De Brito,PT,AC,no-twitter
294,Deputado Léo Moraes,PODE,RO,Dep_LeoMoraes
295,Deputado Léo Motta,PSL,MG,leomotta_ofc
296,Deputado Leonardo Monteiro,PT,MG,depleomonteiro
